"Time","Weight","Concentration"
49,43,0.2257897429284
50,43,0.200302969597727
51,43,0.177693101153806
52,43,0.15763539732371
53,43,0.139841773980271
54,43,0.124056665456876
55,43,0.110053353917338
56,43,0.097630713060437
57,43,0.0866103193897096
58,43,0.076833889558339
59,43,0.0681610069823209
1,44,69.2668734365035
2,44,61.4484002478957
3,44,54.5122062998308
4,44,48.3589584697944
5,44,42.9002790938322
6,44,38.057766431803
7,44,33.7618686025263
8,44,29.950884626317
9,44,26.5700782281888
10,44,23.5708916734885
11,44,20.9102483444665
12,44,18.5499340408513
13,44,16.4560481181944
14,44,14.5985165808115
15,44,12.9506601359898
16,44,11.4888110055214
17,44,10.1919729909199
18,44,9.04151990991218
19,44,8.02092807292262
20,44,7.11553895716888
21,44,6.3123486697144
22,44,5.59982117558372
23,44,4.96772260837971
24,44,4.40697428364477
25,44,3.90952230383107
26,44,3.46822188204642
27,44,3.07673472314466
28,44,2.72943798826923
29,44,2.42134353532853
30,44,2.1480262754733
31,44,1.9055606165763
32,44,1.69046408086725
33,44,1.49964728691585
34,44,1.33036957756613
35,44,1.18019965651616
36,44,1.04698066817574
37,44,0.928799219252022
38,44,0.823957897127444
39,44,0.730950890317731
40,44,0.648442360852382
41,44,0.575247257945109
42,44,0.510314297385482
43,44,0.45271086218874
44,44,0.401609607635309
45,44,0.356276578311354
46,44,0.316060666478155
47,44,0.280384260363354
48,44,0.248734948057634
49,44,0.220658157861846
50,44,0.195750629379598
51,44,0.173654621582129
52,44,0.154052774657263
53,44,0.136663551844356
54,44,0.121237195787401
55,44,0.107552141328308
56,44,0.0954118332181545
57,44,0.0846419030399437
58,44,0.0750876647956497
59,44,0.0666118931872683
1,45,67.727609582359
2,45,60.0828802423869
3,45,53.3008239376123
4,45,47.2843149482434
5,45,41.9469395584137
6,45,37.212038288874
7,45,33.0116048558035
8,45,29.2853094123989
9,45,25.9796320453401
10,45,23.0470940807443
11,45,20.4455761590339
12,45,18.1377132843879
13,45,16.0903581600123
14,45,14.2741051012379
15,45,12.6628676885233
16,45,11.2335040942876
17,45,9.96548470223277
18,45,8.84059724524746
19,45,7.84268522685767
20,45,6.95741586923179
21,45,6.17207425483185
22,45,5.47538070501519
23,45,4.85732877263793
24,45,4.30904152178599
25,45,3.8226440304126
26,45,3.39115028466761
27,45,3.00836284040812
28,45,2.66878381075213
29,45,2.36753590121012
30,45,2.10029235824056
31,45,1.86321482509683
32,45,1.65289821240353
33,45,1.46632179165105
34,45,1.30080580917577
35,45,1.15397299748246
36,45,1.02371443110516
37,45,0.908159236601976
38,45,0.805647721635722
39,45,0.714707537199559
40,45,0.634032530611218
41,45,0.562463985546329
42,45,0.498973979665805
43,45,0.442650620806767
44,45,0.392684949687857
45,45,0.348359321015545
46,45,0.309037096111973
47,45,0.274153499021946
48,45,0.243207504767464
49,45,0.215754643242694
50,45,0.191400615393384
51,45,0.169795629991415
52,45,0.150629379664879
53,45,0.133626584025592
54,45,0.118543035881015
55,45,0.105162093743234
56,45,0.093291570257751
57,45,0.0827609718612782
58,45,0.073419050022413
59,45,0.0651316288942179
1,46,66.2552702436121
2,46,58.7767306719003
3,46,52.1421103737512
4,46,46.2563950580642
5,46,41.0350495680134
6,46,36.403080934768
7,46,32.2939612719817
8,46,28.6486722512598
9,46,25.4148574356588
10,46,22.5460702963803
11,46,20.0011071120984
12,46,17.7434151695099
13,46,15.7405677652294
14,46,13.9637984686023
15,46,12.3875879561641
16,46,10.9892974835422
17,46,9.7488437304451
18,46,8.64841034861165
19,46,7.67219206975207
20,46,6.80616769816154
21,46,6.0378987275529
22,46,5.35635068968877
23,46,4.75173466888493
24,46,4.215366706095
25,46,3.73954307322972
26,46,3.31742962630527
27,46,2.94296364822533
28,46,2.61076677138795
29,46,2.31606772944468
30,46,2.05463382871359
31,46,1.82271015498603
32,46,1.61696564256867
33,46,1.43444523096299
34,46,1.27252742201977
35,46,1.12888662797198
36,46,1.0014597695594
37,46,0.888416644501934
38,46,0.788133640730598
39,46,0.699170416825656
40,46,0.620249214728365
41,46,0.550236507599669
42,46,0.488126719238287
43,46,0.433027781224012
44,46,0.384148320346817
45,46,0.340786292297816
46,46,0.302318898370409
47,46,0.268193640347556
48,46,0.237920385098606
49,46,0.211064324911331
50,46,0.18723973245005
51,46,0.166104420643776
52,46,0.147354827933034
53,46,0.130721658285906
54,46,0.115966013361862
55,46,0.102875961270555
56,46,0.0912634926434522
57,46,0.0809618202990765
58,46,0.071822983717578
59,46,0.0637157239182567
1,47,64.8455836426841
2,47,57.5261619342003
3,47,51.0327037700544
4,47,45.2722164398075
5,47,40.1619634069918
6,47,35.6285472978581
7,47,31.6068557130034
8,47,28.0391260331479
9,47,24.8741157880916
10,47,22.066366673053
11,47,19.5755516416282
12,47,17.3658956978182
13,47,15.4056620680968
14,47,13.6666963735257
15,47,12.1240222549692
16,47,10.7554826434669
17,47,9.54142152341436
18,47,8.46440161779013
19,47,7.50895394060841
20,47,6.66135561947725
21,47,5.90943279717944
22,47,5.24238578139752
23,47,4.65063393124908
24,47,4.12567805277383
25,47,3.65997832699079
26,47,3.24684601723494
27,47,2.88034740039075
28,47,2.55521854220949
29,47,2.26678969264799
30,47,2.0109182153367
31,47,1.78392908785867
32,47,1.5825621182587
33,47,1.4039251196659
34,47,1.24545237048744
35,47,1.10486776354704
36,47,0.980152114887922
37,47,0.86951416270402
38,47,0.771364839863989
39,47,0.684294450510216
40,47,0.607052422925634
41,47,0.538529347863506
42,47,0.477741044360877
43,47,0.423814424176692
44,47,0.3759749518288
45,47,0.333535520121267
46,47,0.295886581383804
47,47,0.262487392680587
48,47,0.232858249245444
49,47,0.206573594594068
50,47,0.183255908355368
51,47,0.162570284034334
52,47,0.144219618828075
53,47,0.127940346407482
54,47,0.11349865137544
55,47,0.100687111030756
56,47,0.0893217162042297
57,47,0.0792392283778195
58,47,0.0702948351278422
59,47,0.0623600702178682
1,48,63.4946339834616
2,48,56.3277002272377
3,48,49.9695224415116
4,48,44.3290452639782
5,48,39.3252558360128
6,48,34.8862858958194
7,48,30.9483795523158
8,48,27.4549775741239
9,48,24.3559050425064
10,48,21.6066507006978
11,48,19.1677276490943
12,48,17.0041062041137
13,48,15.0847107750115
14,48,13.3819735324106
15,48,11.8714384579906
16,48,10.5314100883947
17,48,9.34264190834322
18,48,8.2880599174195
19,48,7.35251740017907
20,48,6.52257737740481
21,48,5.78631961390486
22,48,5.13316941095174
23,48,4.55374572434806
24,48,4.03972642667437
25,48,3.58372877851182
26,48,3.17920339187588
27,48,2.82034016288261
28,48,2.50198482258012
29,48,2.21956490738449
30,48,1.96902408585052
31,48,1.74676389852828
32,48,1.54959207412831
33,48,1.37467667967286
34,48,1.21950544610228
35,48,1.08184968513981
36,48,0.959732279161091
37,48,0.851399284314353
38,48,0.755294739033489
39,48,0.670038316124587
40,48,0.594405497448017
41,48,0.527309986449683
