"IC50_SP_R","IC50_SP","Age","Number_round","Coverage_reduction","Coverage","eir","Access","half_life_long","Dosage_long","seed","seasonality","scenario_name","Indicator","Indicator_1","Input_EIR","Simulated_EIR","time_eir","time_eir_2","Liste","time_0.1"
15,2.39,5,4,0.1,0.95,"150","0.05",15,30,3,"sesonality2","scenario_243_3.txt",0.0304614863730668,0.0305297320899906,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,510,25.1416920033459
21,2.39,5,4,0.1,0.95,"150","0.05",15,30,3,"sesonality2","scenario_244_3.txt",0.0167841635067859,0.0171685598501992,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,513,45.6295190431223
25,2.39,5,4,0.1,0.95,"150","0.05",15,30,3,"sesonality2","scenario_245_3.txt",0.00856848843755057,0.0090832891009989,164.972398912449,151.377341109302,8.2236842105263,8.30946271929825,516,89.3802114500718
5,2.39,5,4,0.1,0.75,"25","0.1",15,30,3,"sesonality2","scenario_289_3.txt",0.0327427951169831,0.0329970968437586,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,660,23.3899795548771
10,2.39,5,4,0.1,0.75,"25","0.1",15,30,3,"sesonality2","scenario_290_3.txt",0.0173250204019478,0.0176810328011262,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,666,44.2050451074599
15,2.39,5,4,0.1,0.75,"25","0.1",15,30,3,"sesonality2","scenario_291_3.txt",0.0149222219870321,0.0155471262139743,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,669,51.3230073256729
21,2.39,5,4,0.1,0.75,"25","0.1",15,30,3,"sesonality2","scenario_292_3.txt",0.00941420324906395,0.00978484930095353,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,672,81.3508364005115
25,2.39,5,4,0.1,0.75,"25","0.1",15,30,3,"sesonality2","scenario_293_3.txt",0.00637362054505129,0.00707432291456667,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,675,120.159853091725
5,2.39,5,4,0.1,0.95,"25","0.1",15,30,3,"sesonality2","scenario_313_3.txt",0.0380596154778011,0.0383707139875151,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,744,20.1224657354319
10,2.39,5,4,0.1,0.95,"25","0.1",15,30,3,"sesonality2","scenario_314_3.txt",0.0255188418630936,0.0257576332089504,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,747,30.0112878344755
15,2.39,5,4,0.1,0.95,"25","0.1",15,30,3,"sesonality2","scenario_315_3.txt",0.020268990078673,0.0204009556676524,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,750,37.7844828668398
21,2.39,5,4,0.1,0.95,"25","0.1",15,30,3,"sesonality2","scenario_316_3.txt",0.00983819112011465,0.0097949677073468,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,753,77.844930943651
25,2.39,5,4,0.1,0.95,"25","0.1",15,30,3,"sesonality2","scenario_317_3.txt",0.00551081733531481,0.00591581505354111,31.6981634582763,26.6064883057456,8.38815789473686,8.30946271929825,756,138.97272614136
5,2.39,5,4,0.1,0.75,"50","0.1",15,30,3,"sesonality2","scenario_325_3.txt",0.0313883500012249,0.0307765642303935,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,783,24.3992853503251
10,2.39,5,4,0.1,0.75,"50","0.1",15,30,3,"sesonality2","scenario_326_3.txt",0.0237042198667641,0.0237921339946819,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,786,32.3087329032741
15,2.39,5,4,0.1,0.75,"50","0.1",15,30,3,"sesonality2","scenario_327_3.txt",0.0201560524675862,0.019674320234883,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,789,37.9961954151174
21,2.39,5,4,0.1,0.75,"50","0.1",15,30,3,"sesonality2","scenario_328_3.txt",0.0115172580826934,0.0111946751841637,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,792,66.4961488973306
25,2.39,5,4,0.1,0.75,"50","0.1",15,30,3,"sesonality2","scenario_329_3.txt",0.00801932294187581,0.0075588879473324,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,795,95.5009935260973
5,2.39,5,4,0.1,0.95,"50","0.1",15,30,3,"sesonality2","scenario_349_3.txt",0.0442154776495031,0.0436800704013506,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,861,17.3209326025311
10,2.39,5,4,0.1,0.95,"50","0.1",15,30,3,"sesonality2","scenario_350_3.txt",0.0337396648127195,0.0332503018189349,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,867,22.6989009110442
15,2.39,5,4,0.1,0.95,"50","0.1",15,30,3,"sesonality2","scenario_351_3.txt",0.0303026708320495,0.0296585756274362,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,870,25.2734589832182
21,2.39,5,4,0.1,0.95,"50","0.1",15,30,3,"sesonality2","scenario_352_3.txt",0.016257194217353,0.0157228856267569,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,873,47.1085784002193
25,2.39,5,4,0.1,0.95,"50","0.1",15,30,3,"sesonality2","scenario_353_3.txt",0.00874122052560524,0.00783984477600854,61.5226800461012,49.3478406283174,8.2236842105263,8.30946271929825,876,87.6140015129909
5,2.39,5,4,0.1,0.75,"100","0.1",15,30,3,"sesonality2","scenario_397_3.txt",0.0396091042069275,0.0390089197391106,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1020,19.3352847455162
10,2.39,5,4,0.1,0.75,"100","0.1",15,30,3,"sesonality2","scenario_398_3.txt",0.0253824701045698,0.0249811803626366,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1023,30.1725287255586
15,2.39,5,4,0.1,0.75,"100","0.1",15,30,3,"sesonality2","scenario_399_3.txt",0.0230769449059287,0.0229089624508875,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1026,33.1869453031025
21,2.39,5,4,0.1,0.75,"100","0.1",15,30,3,"sesonality2","scenario_400_3.txt",0.0133366133887793,0.0134334268414323,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1035,57.4248713695272
25,2.39,5,4,0.1,0.75,"100","0.1",15,30,3,"sesonality2","scenario_401_3.txt",0.00985883656457794,0.00967352608301248,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1038,77.6819154409577
