"Age","Number_round","Coverage_reduction","Coverage","Access","EIR","Seasonality","PE_1","PP"
5,4,0.1,0.95,"0.1","25","sesonality2",0.59916469810629,21
5,4,0.1,0.95,"0.1","50","sesonality2",0.78431797339458,35
5,4,0.1,0.95,"0.1","50","sesonality2",0.602992375805952,21
5,4,0.1,0.95,"0.1","75","sesonality2",0.791437241762517,35
5,4,0.1,0.95,"0.1","75","sesonality2",0.604371083606529,21
5,4,0.1,0.95,"0.1","100","sesonality2",0.783873430929654,35
5,4,0.1,0.95,"0.1","100","sesonality2",0.591050149433487,21
5,4,0.1,0.95,"0.1","125","sesonality2",0.780218100636267,35
5,4,0.1,0.95,"0.1","125","sesonality2",0.598466871987386,21
5,4,0.1,0.95,"0.1","150","sesonality2",0.778165784546534,35
5,4,0.1,0.95,"0.1","150","sesonality2",0.59235217437462,21
5,4,0.1,0.95,"0.2","10","sesonality2",0.756251741476894,35
5,4,0.1,0.95,"0.2","10","sesonality2",0.559582585846101,21
5,4,0.1,0.95,"0.2","25","sesonality2",0.763907155555364,35
5,4,0.1,0.95,"0.2","25","sesonality2",0.508951223023655,21
5,4,0.1,0.95,"0.2","50","sesonality2",0.759994380274467,35
5,4,0.1,0.95,"0.2","50","sesonality2",0.549923815963279,21
5,4,0.1,0.95,"0.2","75","sesonality2",0.756116421143593,35
5,4,0.1,0.95,"0.2","75","sesonality2",0.52947713574168,21
5,4,0.1,0.95,"0.2","100","sesonality2",0.743835900413835,35
5,4,0.1,0.95,"0.2","100","sesonality2",0.535364541057723,21
5,4,0.1,0.95,"0.2","125","sesonality2",0.775580213335028,35
5,4,0.1,0.95,"0.2","125","sesonality2",0.558669808114757,21
5,4,0.1,0.95,"0.2","150","sesonality2",0.772514895341541,35
5,4,0.1,0.95,"0.2","150","sesonality2",0.561897423693828,21
5,4,0.1,0.95,"0.4","10","sesonality2",0.735490147819869,35
5,4,0.1,0.95,"0.4","10","sesonality2",0.471814560522381,21
5,4,0.1,0.95,"0.4","25","sesonality2",0.734877480403926,35
5,4,0.1,0.95,"0.4","25","sesonality2",0.484586989876165,21
5,4,0.1,0.95,"0.4","50","sesonality2",0.743868467543833,35
5,4,0.1,0.95,"0.4","50","sesonality2",0.478511858706831,21
5,4,0.1,0.95,"0.4","75","sesonality2",0.737443630204382,35
5,4,0.1,0.95,"0.4","75","sesonality2",0.463903826612531,21
5,4,0.1,0.95,"0.4","100","sesonality2",0.728206993784576,35
5,4,0.1,0.95,"0.4","100","sesonality2",0.444059760013905,21
5,4,0.1,0.95,"0.4","125","sesonality2",0.734601177712469,35
5,4,0.1,0.95,"0.4","125","sesonality2",0.464250884859873,21
5,4,0.1,0.95,"0.4","150","sesonality2",0.736630757704695,35
5,4,0.1,0.95,"0.4","150","sesonality2",0.49367020208172,21
5,4,0.1,1,"0.05","10","sesonality2",0.848110438562315,35
5,4,0.1,1,"0.05","10","sesonality2",0.677912760344194,21
5,4,0.1,1,"0.05","25","sesonality2",0.857468310813112,35
5,4,0.1,1,"0.05","25","sesonality2",0.687622186416193,21
5,4,0.1,1,"0.05","50","sesonality2",0.841652436474081,35
5,4,0.1,1,"0.05","50","sesonality2",0.663226219359861,21
5,4,0.1,1,"0.05","75","sesonality2",0.843557476329336,35
5,4,0.1,1,"0.05","75","sesonality2",0.669685214967102,21
5,4,0.1,1,"0.05","100","sesonality2",0.853915352383493,35
5,4,0.1,1,"0.05","100","sesonality2",0.670984428661933,21
5,4,0.1,1,"0.05","125","sesonality2",0.847223301187782,35
5,4,0.1,1,"0.05","125","sesonality2",0.675401268648294,21
5,4,0.1,1,"0.05","150","sesonality2",0.858089743430384,35
5,4,0.1,1,"0.05","150","sesonality2",0.693077817186645,21
5,4,0.1,1,"0.1","10","sesonality2",0.861785954326147,35
5,4,0.1,1,"0.1","10","sesonality2",0.688167325524017,21
5,4,0.1,1,"0.1","25","sesonality2",0.841456733416549,35
5,4,0.1,1,"0.1","25","sesonality2",0.638142112482288,21
5,4,0.1,1,"0.1","50","sesonality2",0.83155806329267,35
5,4,0.1,1,"0.1","50","sesonality2",0.632577078570412,21
5,4,0.1,1,"0.1","75","sesonality2",0.833973067455688,35
5,4,0.1,1,"0.1","75","sesonality2",0.651023279528071,21
5,4,0.1,1,"0.1","100","sesonality2",0.830936933285353,35
5,4,0.1,1,"0.1","100","sesonality2",0.635372088545165,21
5,4,0.1,1,"0.1","125","sesonality2",0.830188633087176,35
5,4,0.1,1,"0.1","125","sesonality2",0.631633154587545,21
5,4,0.1,1,"0.1","150","sesonality2",0.828682487075541,35
5,4,0.1,1,"0.1","150","sesonality2",0.632326260723663,21
5,4,0.1,1,"0.2","10","sesonality2",0.799534142523053,35
5,4,0.1,1,"0.2","10","sesonality2",0.578566095076873,21
5,4,0.1,1,"0.2","25","sesonality2",0.811977605841772,35
5,4,0.1,1,"0.2","25","sesonality2",0.544851939060339,21
5,4,0.1,1,"0.2","50","sesonality2",0.803584022369039,35
5,4,0.1,1,"0.2","50","sesonality2",0.576707812912954,21
5,4,0.1,1,"0.2","75","sesonality2",0.797010031335678,35
5,4,0.1,1,"0.2","75","sesonality2",0.558546087564969,21
5,4,0.1,1,"0.2","100","sesonality2",0.80184370964018,35
5,4,0.1,1,"0.2","100","sesonality2",0.574207082069829,21
5,4,0.1,1,"0.2","125","sesonality2",0.807110266006966,35
5,4,0.1,1,"0.2","125","sesonality2",0.592974886055416,21
5,4,0.1,1,"0.2","150","sesonality2",0.819014856614412,35
5,4,0.1,1,"0.2","150","sesonality2",0.597000335635114,21
5,4,0.1,1,"0.4","10","sesonality2",0.786357427085278,35
5,4,0.1,1,"0.4","10","sesonality2",0.504031328901433,21
5,4,0.1,1,"0.4","25","sesonality2",0.775047559130604,35
5,4,0.1,1,"0.4","25","sesonality2",0.507453034689812,21
5,4,0.1,1,"0.4","50","sesonality2",0.788908546344388,35
5,4,0.1,1,"0.4","50","sesonality2",0.499132617675758,21
5,4,0.1,1,"0.4","75","sesonality2",0.788699654586793,35
5,4,0.1,1,"0.4","75","sesonality2",0.499992251943007,21
5,4,0.1,1,"0.4","100","sesonality2",0.778138663487031,35
