"Survey","EIR","MDA"
1019,0.115042,0
1020,0.086361,0
1021,0.063552,0
1022,0.04537,0
1023,0.0309006,0
1024,0.0192835,0
1025,0.01,0
1026,0.01,0
1027,0.01,0
1028,0.01,0
1029,0.01,0
1030,0.01,0
1031,0.01,0
1032,0.01,0
1033,0.01,0
1034,0.01,0
1035,0.01,0
1036,0.01,0
1037,0.01,0
1038,0.01,0
1039,0.01,0
1040,0.01,0
1041,0.01,0
1042,0.01,0
1043,0.01,0
1044,0.01,0
1045,0.01,0
1046,0.01,0
1047,0.01,0
1048,0.01,0
1049,0.01,0
1050,0.01,0
1051,0.01,0
1052,0.01,0
1053,0.01,0
1054,0.0223719,0
1055,0.043968,0
1056,0.072531,0
1057,0.109646,0
1058,0.158035,0
1059,0.223018,0
1060,0.31057,0
1061,0.426705,0
1062,0.578689,0
1063,0.769442,0
1064,0.9996,0
1065,1.27183,0
1066,1.58587,0
1067,1.926,0
1068,2.25725,0
1069,2.55458,0
1070,2.80881,0
1071,2.9981,0
1072,3.10256,0
1073,3.11667,0
1074,3.04089,0
1075,2.8883,0
1076,2.67882,0
1077,2.43049,0
1078,2.16109,0
1079,1.88782,0
1080,1.62428,0
1081,1.3796,0
1082,1.15699,0
1083,0.95795,0
1084,0.78398,0
1085,0.635289,0
1086,0.509762,0
1087,0.405478,0
1088,0.320108,0
1089,0.250817,0
1090,0.195046,0
1091,0.15037,0
1092,0.114694,0
1093,0.086395,0
1094,0.064051,0
1095,0.046367,0
1096,0.032196,0
1097,0.020702,0
1098,0.0111895,0
1099,0.01,0
1100,0.01,0
1101,0.01,0
1102,0.01,0
1103,0.01,0
1104,0.01,0
1105,0.01,0
1106,0.01,0
1107,0.01,0
1108,0.01,0
1109,0.01,0
1110,0.01,0
1111,0.01,0
1112,0.01,0
1113,0.01,0
1114,0.01,0
1115,0.01,0
1116,0.01,0
1117,0.01,0
1118,0.01,0
1119,0.01,0
1120,0.01,0
1121,0.01,0
1122,0.01,0
1123,0.01,0
1124,0.01,0
1125,0.01,0
1126,0.01,0
1127,0.0217873,0
1128,0.044378,0
1129,0.074562,0
1130,0.113253,0
1131,0.162746,0
